num,beer_num,beer_name,brewery,style,abv,ibu,ph_act,ph_V,alc_gas,turb_V,ntu,,r,g,b,c
17,31,Fat Tire,New Belgium,Ale,5.2,15,5.09,3.07,560,3.74,1455.23,,,,,
18,31,Fat Tire,New Belgium,Ale,5.2,15,5.09,3.07,560,2.61,3001.11,,,,,
19,31,Fat Tire,New Belgium,Ale,5.2,15,5.09,3.07,562,2.24,3000,,,,,
20,31,Fat Tire,New Belgium,Ale,5.2,15,5.09,3.07,560,1.92,3000,,,,,
21,31,Fat Tire,New Belgium,Ale,5.2,15,5.08,3.07,559,1.57,3000,,,,,
22,31,Fat Tire,New Belgium,Ale,5.2,15,5.08,3.07,559,1.31,3000,,,,,
1,41,Legend,Fremont Brewing Co. ,IPA,7.0,60,6.18,2.95,570,1.99,3000,,,,,
2,41,Legend,Fremont Brewing Co. ,IPA,7.0,60,6.1,2.95,566,1.61,3000,,,,,
3,41,Legend,Fremont Brewing Co. ,IPA,7.0,60,6.05,2.96,568,1.22,3000,,,,,
4,41,Legend,Fremont Brewing Co. ,IPA,7.0,60,5.97,2.97,572,0.98,3000,,,,,
5,41,Legend,Fremont Brewing Co. ,IPA,7.0,60,5.93,2.97,573,0.66,3000,,,,,
6,41,Legend,Fremont Brewing Co. ,IPA,7.0,60,5.89,2.98,573,1.74,3000,,,,,
7,41,Legend,Fremont Brewing Co. ,IPA,7.0,60,5.89,2.98,572,1.74,3000,,,,,
8,41,Legend,Fremont Brewing Co. ,IPA,7.0,60,5.84,,572,1.76,3000,,,,,
9,41,Legend,Fremont Brewing Co. ,IPA,7.0,60,5.9,2.99,573,1.77,3000,,,,,
10,41,Legend,Fremont Brewing Co. ,IPA,7.0,60,,2.99,572,1.78,3000,,,,,
11,41,Legend,Fremont Brewing Co. ,IPA,7.0,60,5.74,2.99,574,1.76,3000,,,,,
12,41,Legend,Fremont Brewing Co. ,IPA,7.0,60,5.71,3,572,0.49,3000,,,,,
13,41,Legend,Fremont Brewing Co. ,IPA,7.0,60,5.71,3,572,1.61,3000,,,,,
14,41,Legend,Fremont Brewing Co. ,IPA,7.0,60,5.67,3,573,1.59,3000,,,,,
15,41,Legend,Fremont Brewing Co. ,IPA,7.0,60,5.67,3,572,1.59,3000,,,,,
16,41,Legend,Fremont Brewing Co. ,IPA,7.0,60,5.62,3.01,571,1.62,3000,,,,,
17,41,Legend,Fremont Brewing Co. ,IPA,7.0,60,5.61,3.01,572,1.64,3000,,,,,
18,41,Legend,Fremont Brewing Co. ,IPA,7.0,60,5.62,3.01,573,1.69,3000,,,,,
19,41,Legend,Fremont Brewing Co. ,IPA,7.0,60,5.58,3.01,570,1.72,3000,,,,,
20,41,Legend,Fremont Brewing Co. ,IPA,7.0,60,5.58,3.01,572,1.76,3000,,,,,
21,41,Legend,Fremont Brewing Co. ,IPA,7.0,60,5.67,3,570,1.79,3000,,,,,
22,41,Legend,Fremont Brewing Co. ,IPA,7.0,60,5.66,3,571,1.79,3000,,,,,
